movie_id,title,genres,rating,summary
0,Toy Story (1995),Animation|Children's|Comedy,4.146846413095811,A group of toys embarks on a thrilling adventure to save their owner.
1,Jumanji (1995),Adventure|Children's|Fantasy,3.20114122681883,A group of friends must navigate through a magical board game that brings the jungle to life.
2,Grumpier Old Men (1995),Comedy|Romance,3.01673640167364,A hilarious and heartwarming comedy about two feuding old friends who find themselves competing for the affections of a beautiful woman.
3,Waiting to Exhale (1995),Comedy|Drama,2.7294117647058824,"Four African-American women navigate love, friendship, and self-discovery in their search for happiness and fulfillment."
4,Father of the Bride Part II (1995),Comedy,3.0067567567567566,A father's life is turned upside down when he discovers that both his wife and daughter are pregnant at the same time.
5,Heat (1995),Action|Crime|Thriller,3.8787234042553194,A relentless cat-and-mouse game unfolds between a skilled detective and a master thief in the gritty streets of Los Angeles.
6,Sabrina (1995),Comedy|Romance,3.410480349344978,"A chauffeur's daughter falls in love with two wealthy brothers, leading to a captivating romantic triangle."
7,Tom and Huck (1995),Adventure|Children's,3.014705882352941,Two mischievous boys find themselves entangled in a thrilling adventure when they witness a murder and become the prime suspects.
8,Sudden Death (1995),Action,2.656862745098039,A former firefighter must save his daughter and a hockey arena full of hostages from a terrorist plot during the Stanley Cup finals.
9,GoldenEye (1995),Action|Adventure|Thriller,3.5405405405405403,A former MI6 agent must stop a rogue Russian general from using a satellite weapon to cause global chaos.
10,"American President, The (1995)",Comedy|Drama|Romance,3.7938044530493706,"A widowed US President falls in love with a lobbyist, but their relationship faces challenges as they navigate the complexities of politics and personal life."
11,Dracula: Dead and Loving It (1995),Comedy|Horror,2.3625,"A comedic take on the classic vampire tale, filled with hilarious moments and unforgettable characters."
12,Balto (1995),Animation|Children's,3.2626262626262625,A courageous sled dog embarks on a treacherous journey to deliver medicine and save a town from a deadly epidemic.
13,Nixon (1995),Drama,3.542483660130719,"A gripping portrayal of the rise and fall of Richard Nixon, exploring the complexities of power, politics, and personal demons."
14,Cutthroat Island (1995),Action|Adventure|Romance,2.458904109589041,A fearless pirate captain and her loyal crew embark on a treacherous journey to find a hidden treasure before their ruthless rivals.
15,Casino (1995),Drama|Thriller,3.7932551319648096,"A high-stakes tale of power, greed, and deception unfolds in the glamorous world of Las Vegas casinos."
